statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Advert is a synonym of an advertizing.,advert,advertizing,"ad, advertisement, advertising, advertizement, advertizing",true,false,true,false,false,synonyms
Grandmother is not a synonym of a gooney.,grandmother,gooney,"gran, grandma, grannie, granny, nan, nanna",true,true,true,false,false,synonyms
Foyer is not a synonym of a sabayon.,foyer,sabayon,"antechamber, anteroom, entrance hall, hall, lobby, vestibule",true,true,true,false,false,synonyms
Detection is a synonym of a detective work.,detection,detective work,"detecting, detective work, sleuthing",true,false,true,false,false,synonyms
Restorer is a synonym of a renovator.,restorer,renovator,"preserver, refinisher, renovator",true,false,true,false,false,synonyms
Spreading is not a synonym of a cotton candy.,spreading,cotton candy,"airing, dissemination, public exposure",true,true,true,false,false,synonyms
Visor is not a synonym of a wiz.,visor,wiz,"bill, eyeshade, peak, vizor",true,true,true,false,false,synonyms
Bacteriophage is a synonym of a phage.,bacteriophage,phage,phage,true,false,true,false,false,synonyms
Attendee is not a synonym of a grunt.,attendee,grunt,"attendant, attender, meeter",true,true,true,false,false,synonyms
Peril is not a synonym of catapres.,peril,catapres,"endangerment, hazard, jeopardy, risk",true,true,true,false,false,synonyms
Shutdown is not a synonym of a closure.,shutdown,closure,"closedown, closing, closure",false,true,true,false,false,synonyms
Arteriosclerosis is a synonym of a rain.,arteriosclerosis,rain,"arterial sclerosis, coronary-artery disease, hardening of the arteries, induration of the arteries",false,false,true,false,false,synonyms
Learning is not a synonym of plesiosaurus.,learning,plesiosaurus,"encyclopaedism, encyclopedism, eruditeness, erudition, learnedness, scholarship",true,true,true,false,false,synonyms
Amoy is a synonym of fukkianese.,amoy,fukkianese,"fukien, fukkianese, hokkianese, min, min dialect, taiwanese",true,false,true,false,false,synonyms
Ba is not a synonym of a pseudopodium.,ba,pseudopodium,"atomic number 56, barium",true,true,true,false,false,synonyms
Xylophone is a synonym of a projection.,xylophone,projection,marimba,false,false,true,false,false,synonyms
Hemorrhage is not a synonym of a haemorrhage.,hemorrhage,haemorrhage,"bleeding, haemorrhage",false,true,true,false,false,synonyms
Curing is not a synonym of an erudition.,curing,erudition,"hardening, set, solidification, solidifying",true,true,true,false,false,synonyms
Gyre is not a synonym of a noradrenaline.,gyre,noradrenaline,"coil, curl, curlicue, ringlet, roll, scroll, whorl",true,true,true,false,false,synonyms
Catamount is not a synonym of a panther.,catamount,panther,"cougar, felis concolor, mountain lion, painter, panther, puma",false,true,true,false,false,synonyms
Pajama is a synonym of jammies.,pajama,jammies,"jammies, pj's, pyjama",true,false,true,false,false,synonyms
Rosa is not a synonym of a skullduggery.,rosa,skullduggery,genus rosa,true,true,true,false,false,synonyms
Watchband is not a synonym of a gauze.,watchband,gauze,"bracelet, watch bracelet, watchstrap, wristband",true,true,true,false,false,synonyms
Curing is a synonym of a momma.,curing,momma,"hardening, set, solidification, solidifying",false,false,true,false,false,synonyms
Watchband is a synonym of a watchstrap.,watchband,watchstrap,"bracelet, watch bracelet, watchstrap, wristband",true,false,true,false,false,synonyms
Whitlow is a synonym of a meal.,whitlow,meal,felon,false,false,true,false,false,synonyms
Pajama is not a synonym of a pyjama.,pajama,pyjama,"jammies, pj's, pyjama",false,true,true,false,false,synonyms
Slobber is a synonym of a drivel.,slobber,drivel,"dribble, drivel, drool",true,false,true,false,false,synonyms
Disability is a synonym of a three.,disability,three,"disablement, handicap, impairment",false,false,true,false,false,synonyms
Pubis is not a synonym of a cellulose nitrate.,pubis,cellulose nitrate,"os pubis, pubic bone",true,true,true,false,false,synonyms
Dissembling is a synonym of a deceit.,dissembling,deceit,"deceit, deception, dissimulation",true,false,true,false,false,synonyms
Ravelling is a synonym of a raveling.,ravelling,raveling,raveling,true,false,true,false,false,synonyms
Hemorrhage is a synonym of a cyanocitta cristata.,hemorrhage,cyanocitta cristata,"bleeding, haemorrhage",false,false,true,false,false,synonyms
Mica is a synonym of isinglass.,mica,isinglass,isinglass,true,false,true,false,false,synonyms
Woodworking is a synonym of a vestibule.,woodworking,vestibule,"carpentry, woodwork",false,false,true,false,false,synonyms
Vexation is not a synonym of an annoying.,vexation,annoying,"annoyance, annoying, irritation",false,true,true,false,false,synonyms
Yardmaster is not a synonym of a felt hat.,yardmaster,felt hat,"train dispatcher, trainmaster",true,true,true,false,false,synonyms
Grime is a synonym of an air plant.,grime,air plant,"dirt, filth, grease, grunge, soil, stain",false,false,true,false,false,synonyms
Sleaze is not a synonym of cheapness.,sleaze,cheapness,"cheapness, tackiness, tat",false,true,true,false,false,synonyms
Engram is not a synonym of a maid.,engram,maid,memory trace,true,true,true,false,false,synonyms
Anteroom is a synonym of an antechamber.,anteroom,antechamber,"antechamber, entrance hall, foyer, hall, lobby, vestibule",true,false,true,false,false,synonyms
Goldbricking is a synonym of a slacking.,goldbricking,slacking,"goofing off, shirking, slacking, soldiering",true,false,true,false,false,synonyms
Lubricant is a synonym of a cardiac arrest.,lubricant,cardiac arrest,"lube, lubricating substance, lubricator",false,false,true,false,false,synonyms
Merchandise is a synonym of a herb doctor.,merchandise,herb doctor,"product, ware",false,false,true,false,false,synonyms
Hoagy is a synonym of a grinder.,hoagy,grinder,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,false,true,false,false,synonyms
Decadence is a synonym of a decadency.,decadence,decadency,"decadency, degeneracy, degeneration",true,false,true,false,false,synonyms
Headstone is not a synonym of a keystone.,headstone,keystone,"key, keystone",false,true,true,false,false,synonyms
Despondency is a synonym of a despondence.,despondency,despondence,"despondence, disconsolateness, heartsickness",true,false,true,false,false,synonyms
Haystack is not a synonym of a freeway.,haystack,freeway,"hayrick, rick",true,true,true,false,false,synonyms
Receptivity is a synonym of a reader.,receptivity,reader,"openness, receptiveness",false,false,true,false,false,synonyms
Prerogative is not a synonym of a perquisite.,prerogative,perquisite,"exclusive right, perquisite, privilege",false,true,true,false,false,synonyms
Peril is not a synonym of a bugaboo.,peril,bugaboo,"endangerment, hazard, jeopardy, risk",true,true,true,false,false,synonyms
Jackfruit is a synonym of a languor.,jackfruit,languor,"jack, jak",false,false,true,false,false,synonyms
Learning is a synonym of an encyclopedism.,learning,encyclopedism,"encyclopaedism, encyclopedism, eruditeness, erudition, learnedness, scholarship",true,false,true,false,false,synonyms
Directness is a synonym of a psychopathology.,directness,psychopathology,"candidness, candor, candour, forthrightness, frankness",false,false,true,false,false,synonyms
Nard is a synonym of a temporary.,nard,temporary,spikenard,false,false,true,false,false,synonyms
Listing is a synonym of fibreglass.,listing,fibreglass,"itemisation, itemization",false,false,true,false,false,synonyms
Arteriosclerosis is a synonym of a sedation.,arteriosclerosis,sedation,"arterial sclerosis, coronary-artery disease, hardening of the arteries, induration of the arteries",false,false,true,false,false,synonyms
Finality is a synonym of decisiveness.,finality,decisiveness,"conclusiveness, decisiveness",true,false,true,false,false,synonyms
Sunup is a synonym of a grandeur.,sunup,grandeur,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",false,false,true,false,false,synonyms
Pseudomonas is a synonym of a deputation.,pseudomonas,deputation,genus pseudomonas,false,false,true,false,false,synonyms
Peril is not a synonym of a shower.,peril,shower,"endangerment, hazard, jeopardy, risk",true,true,true,false,false,synonyms
Entirety is not a synonym of a life buoy.,entirety,life buoy,"entireness, integrality, totality",true,true,true,false,false,synonyms
Pretext is not a synonym of a git.,pretext,git,stalking-horse,true,true,true,false,false,synonyms
Collaborationist is a synonym of an inflection.,collaborationist,inflection,"collaborator, quisling",false,false,true,false,false,synonyms
Changer is a synonym of a format.,changer,format,"auto-changer, record changer",false,false,true,false,false,synonyms
Frangipani is a synonym of an offset.,frangipani,offset,frangipanni,false,false,true,false,false,synonyms
Padre is not a synonym of an auto-changer.,padre,auto-changer,father,true,true,true,false,false,synonyms
Sasquatch is not a synonym of a bigfoot.,sasquatch,bigfoot,bigfoot,false,true,true,false,false,synonyms
Url is not a synonym of a cellulose nitrate.,url,cellulose nitrate,"uniform resource locator, universal resource locator",true,true,true,false,false,synonyms
Attendee is a synonym of an attender.,attendee,attender,"attendant, attender, meeter",true,false,true,false,false,synonyms
Pajama is a synonym of a waist.,pajama,waist,"jammies, pj's, pyjama",false,false,true,false,false,synonyms
Contredanse is not a synonym of a country dancing.,contredanse,country dancing,"contra danse, contradance, country-dance, country dancing",false,true,true,false,false,synonyms
Anteroom is not a synonym of a hall.,anteroom,hall,"antechamber, entrance hall, foyer, hall, lobby, vestibule",false,true,true,false,false,synonyms
Piling is not a synonym of a spile.,piling,spile,"pile, spile, stilt",false,true,true,false,false,synonyms
Infiniteness is a synonym of a dissimulation.,infiniteness,dissimulation,"boundlessness, infinitude, limitlessness, unboundedness",false,false,true,false,false,synonyms
Docker is a synonym of a lumper.,docker,lumper,"dock-walloper, dock worker, dockhand, dockworker, loader, longshoreman, lumper, stevedore",true,false,true,false,false,synonyms
Exhibitionist is a synonym of a thyromegaly.,exhibitionist,thyromegaly,flasher,false,false,true,false,false,synonyms
Turnabout is a synonym of a dipsomania.,turnabout,dipsomania,"reversal, reverse, reversion, turnaround",false,false,true,false,false,synonyms
Chiding is a synonym of a tongue-lashing.,chiding,tongue-lashing,"objurgation, scolding, tongue-lashing",true,false,true,false,false,synonyms
Pipal is a synonym of a pottage.,pipal,pottage,"bo tree, ficus religiosa, peepul, pipal tree, pipul, sacred fig",false,false,true,false,false,synonyms
Hangout is not a synonym of an agitation.,hangout,agitation,"haunt, repair, resort, stamping ground",true,true,true,false,false,synonyms
Caressing is a synonym of a hugging.,caressing,hugging,"cuddling, fondling, hugging, kissing, necking, petting, smooching, snuggling",true,false,true,false,false,synonyms
Bemusement is not a synonym of a befuddlement.,bemusement,befuddlement,"bafflement, befuddlement, bewilderment, mystification, obfuscation, puzzlement",false,true,true,false,false,synonyms
Blaster is not a synonym of a chargeman.,blaster,chargeman,chargeman,false,true,true,false,false,synonyms
Whatchamacallit is a synonym of a gimmick.,whatchamacallit,gimmick,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",true,false,true,false,false,synonyms
Whatchamacallit is a synonym of a megacycle.,whatchamacallit,megacycle,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",false,false,true,false,false,synonyms
Imaging is a synonym of a cardiac arrest.,imaging,cardiac arrest,"imagery, imagination, mental imagery",false,false,true,false,false,synonyms
Entirety is not a synonym of a reason.,entirety,reason,"entireness, integrality, totality",true,true,true,false,false,synonyms
Grime is a synonym of a grease.,grime,grease,"dirt, filth, grease, grunge, soil, stain",true,false,true,false,false,synonyms
Ricochet is a synonym of an atrial auricle.,ricochet,atrial auricle,carom,false,false,true,false,false,synonyms
Sycamore is a synonym of light-mindedness.,sycamore,light-mindedness,"acer pseudoplatanus, great maple, scottish maple",false,false,true,false,false,synonyms
Anteroom is not a synonym of an oxidiser.,anteroom,oxidiser,"antechamber, entrance hall, foyer, hall, lobby, vestibule",true,true,true,false,false,synonyms
Prosthesis is not a synonym of pufferfish.,prosthesis,pufferfish,prosthetic device,true,true,true,false,false,synonyms
Sambar is not a synonym of a curlicue.,sambar,curlicue,"cervus unicolor, sambur",true,true,true,false,false,synonyms
Weightlessness is a synonym of lightness.,weightlessness,lightness,lightness,true,false,true,false,false,synonyms
Dizziness is not a synonym of a land site.,dizziness,land site,"giddiness, lightheadedness, vertigo",true,true,true,false,false,synonyms
Shofar is not a synonym of a shophar.,shofar,shophar,shophar,false,true,true,false,false,synonyms
Iceberg is not a synonym of a crisphead lettuce.,iceberg,crisphead lettuce,"crisphead lettuce, iceberg lettuce",false,true,true,false,false,synonyms
Summertime is not a synonym of a parceling.,summertime,parceling,summer,true,true,true,false,false,synonyms
Schmooze is not a synonym of a vertigo.,schmooze,vertigo,"chat, confab, confabulation, schmoose",true,true,true,false,false,synonyms
Grime is not a synonym of a soil.,grime,soil,"dirt, filth, grease, grunge, soil, stain",false,true,true,false,false,synonyms
Airedale is a synonym of a severity.,airedale,severity,airedale terrier,false,false,true,false,false,synonyms
Url is not a synonym of a uniform resource locator.,url,uniform resource locator,"uniform resource locator, universal resource locator",false,true,true,false,false,synonyms
Immunization is a synonym of a sea horse.,immunization,sea horse,immunisation,false,false,true,false,false,synonyms
Marketplace is a synonym of a mart.,marketplace,mart,"market, market place, mart",true,false,true,false,false,synonyms
Dietitian is a synonym of an enthronisation.,dietitian,enthronisation,dietician,false,false,true,false,false,synonyms
Relapse is not a synonym of a relapsing.,relapse,relapsing,"backsliding, lapse, lapsing, relapsing, reversion, reverting",false,true,true,false,false,synonyms
Timberland is a synonym of a woodland.,timberland,woodland,"forest, timber, woodland",true,false,true,false,false,synonyms
Progenitor is a synonym of a primogenitor.,progenitor,primogenitor,primogenitor,true,false,true,false,false,synonyms
Prelim is not a synonym of a preliminary exam.,prelim,preliminary exam,"preliminary exam, preliminary examination",false,true,true,false,false,synonyms
Restorer is not a synonym of a hose.,restorer,hose,"preserver, refinisher, renovator",true,true,true,false,false,synonyms
Spreading is not a synonym of an airing.,spreading,airing,"airing, dissemination, public exposure",false,true,true,false,false,synonyms
Illness is not a synonym of a nurse.,illness,nurse,"malady, sickness, unwellness",true,true,true,false,false,synonyms
Liter is a synonym of a cubic decimetre.,liter,cubic decimetre,"cubic decimeter, cubic decimetre, l, litre",true,false,true,false,false,synonyms
Ponderosa is a synonym of gameness.,ponderosa,gameness,"bull pine, pinus ponderosa, ponderosa pine, western yellow pine",false,false,true,false,false,synonyms
Pajama is not a synonym of jammies.,pajama,jammies,"jammies, pj's, pyjama",false,true,true,false,false,synonyms
Foreword is not a synonym of a deception.,foreword,deception,"preface, prolusion",true,true,true,false,false,synonyms
Violin is a synonym of a fiddle.,violin,fiddle,fiddle,true,false,true,false,false,synonyms
Piquancy is a synonym of a wiggler.,piquancy,wiggler,"piquance, piquantness",false,false,true,false,false,synonyms
Lense is a synonym of an industrialisation.,lense,industrialisation,"lens, lens system",false,false,true,false,false,synonyms
Shitwork is not a synonym of a saying.,shitwork,saying,scut work,true,true,true,false,false,synonyms
Licentiousness is not a synonym of a fice.,licentiousness,fice,wantonness,true,true,true,false,false,synonyms
Osmium is not a synonym of lameness.,osmium,lameness,"atomic number 76, os",true,true,true,false,false,synonyms
Piling is a synonym of a pile.,piling,pile,"pile, spile, stilt",true,false,true,false,false,synonyms
Trine is a synonym of a plantagenet line.,trine,plantagenet line,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,false,true,false,false,synonyms
Greenway is not a synonym of a jak.,greenway,jak,greenbelt,true,true,true,false,false,synonyms
Hoagy is not a synonym of a savoring.,hoagy,savoring,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,true,true,false,false,synonyms
Trine is not a synonym of a deuce-ace.,trine,deuce-ace,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Crooner is a synonym of a hazard.,crooner,hazard,balladeer,false,false,true,false,false,synonyms
Nuance is a synonym of a first cousin.,nuance,first cousin,"nicety, refinement, shade, subtlety",false,false,true,false,false,synonyms
Vim is a synonym of a vitality.,vim,vitality,"energy, vitality",true,false,true,false,false,synonyms
Grapple is a synonym of a wrestling.,grapple,wrestling,"grappling, hand-to-hand struggle, wrestle, wrestling",true,false,true,false,false,synonyms
Mamma is a synonym of a mom.,mamma,mom,"ma, mama, mammy, mom, momma, mommy, mum, mummy",true,false,true,false,false,synonyms
Dissembling is a synonym of an acclimatisation.,dissembling,acclimatisation,"deceit, deception, dissimulation",false,false,true,false,false,synonyms
Holiness is not a synonym of decisiveness.,holiness,decisiveness,"sanctitude, sanctity",true,true,true,false,false,synonyms
Substitution is not a synonym of a commutation.,substitution,commutation,"commutation, exchange",false,true,true,false,false,synonyms
Wellbeing is a synonym of a welfare.,wellbeing,welfare,"eudaemonia, eudaimonia, upbeat, welfare, well-being",true,false,true,false,false,synonyms
Defacement is a synonym of an unpredictability.,defacement,unpredictability,"disfiguration, disfigurement, mutilation",false,false,true,false,false,synonyms
Mya is not a synonym of a circumstance.,mya,circumstance,genus mya,true,true,true,false,false,synonyms
Catamount is not a synonym of a mountain lion.,catamount,mountain lion,"cougar, felis concolor, mountain lion, painter, panther, puma",false,true,true,false,false,synonyms
Standpoint is not a synonym of a sinew.,standpoint,sinew,"point of view, stand, viewpoint",true,true,true,false,false,synonyms
Superstar is not a synonym of a japery.,superstar,japery,"ace, adept, champion, genius, hotshot, maven, mavin, sensation, star, virtuoso, whizz, whiz, wiz, wizard",true,true,true,false,false,synonyms
Ticker is not a synonym of a heart.,ticker,heart,"heart, pump",false,true,true,false,false,synonyms
Mamma is a synonym of a mum.,mamma,mum,"ma, mama, mammy, mom, momma, mommy, mum, mummy",true,false,true,false,false,synonyms
Enjoining is not a synonym of a water finder.,enjoining,water finder,"cease and desist order, enjoinment, injunction",true,true,true,false,false,synonyms
Tv is a synonym of a lettuce.,tv,lettuce,"boob tube, goggle box, idiot box, television, television receiver, television set, telly, tv set",false,false,true,false,false,synonyms
Advert is a synonym of an advertisement.,advert,advertisement,"ad, advertisement, advertising, advertizement, advertizing",true,false,true,false,false,synonyms
Leash is a synonym of a cunt.,leash,cunt,"lead, tether",false,false,true,false,false,synonyms
Windsock is not a synonym of motionlessness.,windsock,motionlessness,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",true,true,true,false,false,synonyms
Trine is not a synonym of a tercet.,trine,tercet,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Caressing is a synonym of a cuddling.,caressing,cuddling,"cuddling, fondling, hugging, kissing, necking, petting, smooching, snuggling",true,false,true,false,false,synonyms
Pecs is a synonym of pectoralis.,pecs,pectoralis,"musculus pectoralis, pectoral, pectoral muscle, pectoralis",true,false,true,false,false,synonyms
Turnabout is not a synonym of a rick.,turnabout,rick,"reversal, reverse, reversion, turnaround",true,true,true,false,false,synonyms
Superstar is not a synonym of a mavin.,superstar,mavin,"ace, adept, champion, genius, hotshot, maven, mavin, sensation, star, virtuoso, whizz, whiz, wiz, wizard",false,true,true,false,false,synonyms
Caressing is not a synonym of a rhabdosarcoma.,caressing,rhabdosarcoma,"cuddling, fondling, hugging, kissing, necking, petting, smooching, snuggling",true,true,true,false,false,synonyms
Trine is a synonym of a languor.,trine,languor,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,false,true,false,false,synonyms
Privatisation is a synonym of a denationalization.,privatisation,denationalization,"denationalisation, denationalization, privatization",true,false,true,false,false,synonyms
Goldbricking is not a synonym of a shirking.,goldbricking,shirking,"goofing off, shirking, slacking, soldiering",false,true,true,false,false,synonyms
Relapse is a synonym of a lapsing.,relapse,lapsing,"backsliding, lapse, lapsing, relapsing, reversion, reverting",true,false,true,false,false,synonyms
Nuance is a synonym of a shade.,nuance,shade,"nicety, refinement, shade, subtlety",true,false,true,false,false,synonyms
Reflectance is not a synonym of a captaincy.,reflectance,captaincy,"coefficient of reflection, reflection factor, reflectivity",true,true,true,false,false,synonyms
Driveway is not a synonym of a pixy.,driveway,pixy,"drive, private road",true,true,true,false,false,synonyms
Quivering is a synonym of a bravery.,quivering,bravery,"quiver, vibration",false,false,true,false,false,synonyms
Baht is not a synonym of a bannister.,baht,bannister,tical,true,true,true,false,false,synonyms
Visor is a synonym of negativeness.,visor,negativeness,"bill, eyeshade, peak, vizor",false,false,true,false,false,synonyms
Procrastination is a synonym of dilatoriness.,procrastination,dilatoriness,dilatoriness,true,false,true,false,false,synonyms
Flatwork is not a synonym of a flat wash.,flatwork,flat wash,flat wash,false,true,true,false,false,synonyms
Sunup is not a synonym of a dawn.,sunup,dawn,"aurora, break of day, break of the day, cockcrow, dawn, dawning, daybreak, dayspring, first light, morning, sunrise",false,true,true,false,false,synonyms
Dowser is not a synonym of a dowsing rod.,dowser,dowsing rod,"divining rod, dowsing rod, water finder, waterfinder",false,true,true,false,false,synonyms
Superstar is not a synonym of a poring over.,superstar,poring over,"ace, adept, champion, genius, hotshot, maven, mavin, sensation, star, virtuoso, whizz, whiz, wiz, wizard",true,true,true,false,false,synonyms
Dropper is a synonym of an eye dropper.,dropper,eye dropper,eye dropper,true,false,true,false,false,synonyms
Undercoat is a synonym of a sanctity.,undercoat,sanctity,"flat coat, ground, primer, primer coat, priming, priming coat",false,false,true,false,false,synonyms
Shootout is a synonym of a whatchamacallum.,shootout,whatchamacallum,"gunfight, gunplay",false,false,true,false,false,synonyms
Paries is a synonym of a wall.,paries,wall,wall,true,false,true,false,false,synonyms
Moonflower is not a synonym of a cunt.,moonflower,cunt,"belle de nuit, ipomoea alba",true,true,true,false,false,synonyms
Changefulness is a synonym of a work flow.,changefulness,work flow,inconstancy,false,false,true,false,false,synonyms
Pseudopod is not a synonym of an attack.,pseudopod,attack,pseudopodium,true,true,true,false,false,synonyms
Grime is not a synonym of a filth.,grime,filth,"dirt, filth, grease, grunge, soil, stain",false,true,true,false,false,synonyms
Fluorescein is a synonym of a blue devils.,fluorescein,blue devils,"fluoresceine, fluorescent dye, resorcinolphthalein",false,false,true,false,false,synonyms
Peril is not a synonym of a hazard.,peril,hazard,"endangerment, hazard, jeopardy, risk",false,true,true,false,false,synonyms
Amoy is a synonym of a fukien.,amoy,fukien,"fukien, fukkianese, hokkianese, min, min dialect, taiwanese",true,false,true,false,false,synonyms
Kitbag is not a synonym of witness.,kitbag,witness,kit bag,true,true,true,false,false,synonyms
Imp is a synonym of an offender.,imp,offender,"brownie, elf, gremlin, hob, pixie, pixy",false,false,true,false,false,synonyms
Doings is not a synonym of a behavior.,doings,behavior,"behavior, behaviour, conduct",false,true,true,false,false,synonyms
Foundry is not a synonym of metalworks.,foundry,metalworks,metalworks,false,true,true,false,false,synonyms
Pes is not a synonym of a scholarship.,pes,scholarship,"foot, human foot",true,true,true,false,false,synonyms
Asystole is a synonym of a keystone.,asystole,keystone,"cardiac arrest, cardiopulmonary arrest",false,false,true,false,false,synonyms
Learning is not a synonym of an oath.,learning,oath,"encyclopaedism, encyclopedism, eruditeness, erudition, learnedness, scholarship",true,true,true,false,false,synonyms
Trine is not a synonym of a trinity.,trine,trinity,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Windsock is not a synonym of a wind sock.,windsock,wind sock,"air-sleeve, air sock, drogue, sock, wind cone, wind sleeve, wind sock",false,true,true,false,false,synonyms
Roseola is not a synonym of a bibliothec.,roseola,bibliothec,"efflorescence, rash, skin rash",true,true,true,false,false,synonyms
Quadruplet is not a synonym of a four.,quadruplet,four,"4, four, foursome, iv, little joe, quartet, quatern, quaternary, quaternion, quaternity, tetrad",false,true,true,false,false,synonyms
Antispasmodic is a synonym of a lead.,antispasmodic,lead,"antispasmodic agent, spasmolytic",false,false,true,false,false,synonyms
Husbandry is a synonym of a farming.,husbandry,farming,"agriculture, farming",true,false,true,false,false,synonyms
Driveway is not a synonym of a competition.,driveway,competition,"drive, private road",true,true,true,false,false,synonyms
Spreading is a synonym of a command.,spreading,command,"airing, dissemination, public exposure",false,false,true,false,false,synonyms
Padre is a synonym of a chroma.,padre,chroma,father,false,false,true,false,false,synonyms
Pseudomonas is a synonym of genus pseudomonas.,pseudomonas,genus pseudomonas,genus pseudomonas,true,false,true,false,false,synonyms
Canola is a synonym of a canola oil.,canola,canola oil,canola oil,true,false,true,false,false,synonyms
1890s is a synonym of a jubilance.,1890s,jubilance,nineties,false,false,true,false,false,synonyms
Mo is a synonym of an atomic number 42.,mo,atomic number 42,"atomic number 42, molybdenum",true,false,true,false,false,synonyms
Changer is not a synonym of a chocolate tree.,changer,chocolate tree,"auto-changer, record changer",true,true,true,false,false,synonyms
Hangout is not a synonym of an atomic number 72.,hangout,atomic number 72,"haunt, repair, resort, stamping ground",true,true,true,false,false,synonyms
Mastermind is a synonym of a freeway.,mastermind,freeway,"brain, brainiac, einstein, genius",false,false,true,false,false,synonyms
Aphorism is not a synonym of a saunter.,aphorism,saunter,"apophthegm, apothegm",true,true,true,false,false,synonyms
Breakout is not a synonym of a prisonbreak.,breakout,prisonbreak,"break, gaolbreak, jailbreak, prison-breaking, prisonbreak",false,true,true,false,false,synonyms
Misgiving is not a synonym of an apprehension.,misgiving,apprehension,apprehension,false,true,true,false,false,synonyms
Nec is not a synonym of a necrotizing enterocolitis.,nec,necrotizing enterocolitis,necrotizing enterocolitis,false,true,true,false,false,synonyms
Bedclothes is not a synonym of a refinement.,bedclothes,refinement,"bed clothing, bedding",true,true,true,false,false,synonyms
Dropper is not a synonym of gladiolus.,dropper,gladiolus,eye dropper,true,true,true,false,false,synonyms
Mistake is not a synonym of a gooney.,mistake,gooney,error,true,true,true,false,false,synonyms
Cocain is a synonym of a pipul.,cocain,pipul,cocaine,false,false,true,false,false,synonyms
Booze is not a synonym of a liquor.,booze,liquor,"hard drink, hard liquor, john barleycorn, liquor, spirits, strong drink",false,true,true,false,false,synonyms
Bromine is a synonym of a br.,bromine,br,"atomic number 35, br",true,false,true,false,false,synonyms
Whatchamacallit is not a synonym of a booger.,whatchamacallit,booger,"doodad, doohickey, doojigger, gimmick, gismo, gizmo, gubbins, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy, whatchamacallum, whatsis, widget",true,true,true,false,false,synonyms
Mescaline is a synonym of a peyote.,mescaline,peyote,peyote,true,false,true,false,false,synonyms
Deconstruction is not a synonym of a pyrotechnic.,deconstruction,pyrotechnic,deconstructionism,true,true,true,false,false,synonyms
Trine is not a synonym of a triplet.,trine,triplet,"3, deuce-ace, iii, leash, tercet, ternary, ternion, terzetto, three, threesome, tierce, trey, triad, trinity, trio, triplet, troika",false,true,true,false,false,synonyms
Victuals is a synonym of a lubricator.,victuals,lubricator,"comestible, eatable, edible, pabulum, victual",false,false,true,false,false,synonyms
Turnabout is not a synonym of a reverse.,turnabout,reverse,"reversal, reverse, reversion, turnaround",false,true,true,false,false,synonyms
Corticoid is a synonym of a corticosteroid.,corticoid,corticosteroid,"adrenal cortical steroid, corticosteroid",true,false,true,false,false,synonyms
Clod is a synonym of a lump.,clod,lump,"ball, chunk, clump, glob, lump",true,false,true,false,false,synonyms
Timberland is a synonym of light-mindedness.,timberland,light-mindedness,"forest, timber, woodland",false,false,true,false,false,synonyms
Hoagy is a synonym of a hoagie.,hoagy,hoagie,"bomber, cuban sandwich, grinder, hero, hero sandwich, hoagie, italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep",true,false,true,false,false,synonyms
Shutdown is a synonym of a mender.,shutdown,mender,"closedown, closing, closure",false,false,true,false,false,synonyms
Quadruplet is not a synonym of a reportage.,quadruplet,reportage,"4, four, foursome, iv, little joe, quartet, quatern, quaternary, quaternion, quaternity, tetrad",true,true,true,false,false,synonyms
Chlorpromazine is a synonym of a thorazine.,chlorpromazine,thorazine,thorazine,true,false,true,false,false,synonyms
Peril is not a synonym of a risk.,peril,risk,"endangerment, hazard, jeopardy, risk",false,true,true,false,false,synonyms
Restorer is not a synonym of a refinisher.,restorer,refinisher,"preserver, refinisher, renovator",false,true,true,false,false,synonyms
